"date","prec","prec_var","flow_obs","flow_sim","pet","tmin","tmean","tmax","srad","vprp"
2000-06-15,0.026,0.001,,0.871,2.931,-1.167,6.364,13.895,17.497,5.066
2000-06-16,0.122,0.017,,0.87,2.746,0.028,6.9,13.772,16.155,5.655
2000-06-17,0.071,0.005,,0.866,2.5,1.021,7.187,13.352,13.767,5.792
2000-06-18,0.147,0.021,,0.856,2.969,2.642,8.476,14.31,12.994,6.325
2000-06-19,0.055,0.003,,0.855,3.016,-0.045,7.079,14.204,15.517,5.56
2000-06-20,0.128,0.016,,0.845,2.926,-1.059,7.107,15.273,16.761,5.702
2000-06-21,0.142,0.018,,0.839,2.821,-1.088,6.815,14.718,14.528,5.236
2000-06-22,0.057,0.003,,0.834,3.022,-0.713,7.233,15.178,16.241,5.32
2000-06-23,0.075,0.005,,0.828,3.3,-0.91,7.547,16.003,16.997,5.771
2000-06-24,0.08,0.006,,0.82,2.977,-0.461,7.247,14.956,15.68,5.533
2000-06-25,0.015,0,,0.812,3.133,0.964,8.441,15.918,16.601,5.41
2000-06-26,0.006,0,,0.808,3.346,0.222,7.94,15.658,16.46,5.575
2000-06-27,0.055,0.003,,0.806,3.35,-0.346,7.904,16.154,17.841,5.017
2000-06-28,0.08,0.006,,0.798,3.316,-0.256,8.298,16.852,17.542,5.459
2000-06-29,0.021,0,,0.782,3.347,-0.42,8.141,16.703,17.88,5.4
2000-06-30,0.018,0,,0.768,3.401,-0.413,8.166,16.745,18.855,4.431
2000-07-01,0.001,0,,0.856,3.597,-1.168,7.878,16.923,18.404,4.164
2000-07-02,0.014,0,,0.854,3.363,-0.136,8.159,16.455,18.55,4.781
2000-07-03,0.106,0.02,,0.845,2.867,1.725,8.365,15.005,16.894,5.29
2000-07-04,0.188,0.027,,0.841,2.757,3.28,9.071,14.862,15.444,5.796
2000-07-05,0.052,0.003,,0.837,2.607,2.793,8.001,13.209,13.691,5.996
2000-07-06,0.013,0,,0.828,2.807,1.07,7.904,14.739,14.65,6.059
2000-07-07,0.004,0,,0.823,3.007,-0.131,7.298,14.728,15.803,5.736
2000-07-08,0.002,0,,0.819,3.11,0.395,7.7,15.005,15.807,5.849
2000-07-09,0.024,0.001,,0.811,3.13,0.284,7.344,14.405,16.34,6.035
2000-07-10,0.037,0.001,,0.807,3.302,-0.296,7.789,15.875,18.086,4.673
2000-07-11,0.124,0.011,,0.798,3.164,-0.224,7.459,15.143,17.792,4.909
2000-07-12,0.038,0.002,,0.786,3.241,-0.35,7.704,15.758,16.681,5.145
2000-07-13,0.027,0.001,,0.772,3.126,0.42,7.431,14.441,17.168,5.43
2000-07-14,0.011,0,,0.765,2.941,-0.719,7.419,15.558,16.149,5.469
2000-07-15,0.036,0.001,,0.762,3.402,-0.272,7.917,16.106,17.162,5.713
2000-07-16,0.027,0.001,,0.758,3.436,-0.769,7.611,15.991,17.561,5.446
2000-07-17,0.019,0,,0.755,3.105,-1.824,6.549,14.921,16.745,5.525
2000-07-18,0.004,0,,0.753,3.233,-2.537,5.819,14.175,19.906,4.319
2000-07-19,0.01,0,,0.752,3.054,-2.425,5.19,12.805,18.235,4.905
2000-07-20,0.016,0,,0.741,2.83,-1.1,5.902,12.904,15.706,5.848
2000-07-21,0.02,0,,0.736,2.781,-0.143,6.729,13.601,18.251,5.488
2000-07-22,0.023,0.001,,0.732,3.239,-2.843,5.494,13.83,19.571,4.74
2000-07-23,0.046,0.003,,0.726,2.797,0.468,7.125,13.782,15.789,5.512
2000-07-24,0.109,0.011,,0.716,2.602,0.513,6.93,13.347,14.929,5.857
2000-07-25,0.039,0.002,,0.71,3.27,2.071,8.821,15.571,16.007,5.982
2000-07-26,0.017,0,,0.704,3.388,1.899,8.426,14.952,16.534,5.088
2000-07-27,0.016,0,,0.7,3.633,-0.29,7.75,15.791,18.728,4.296
2000-07-28,0.012,0,,0.694,3.872,-2.134,7.107,16.347,21.014,3.212
2000-07-29,0.001,0,,0.683,3.865,-2.189,7.571,17.33,20.763,3.221
2000-07-30,0.002,0,,0.672,3.65,-1.116,7.373,15.863,19.981,4.456
2000-07-31,0.004,0,,0.666,3.252,-1.77,6.502,14.775,16.63,5.567
2000-08-01,0.028,0,,0.784,3.179,-1.097,7.413,15.923,17.835,5.387
2000-08-02,0.032,0.001,,0.779,3.107,-0.774,7.28,15.334,18.463,4.877
2000-08-03,0.084,0.004,,0.776,3.41,0.118,8.112,16.106,17.837,4.988
2000-08-04,0.141,0.011,,0.77,2.679,1.062,7.245,13.428,16.601,5.317
2000-08-05,0.189,0.028,,0.768,3.068,-0.098,7.752,15.602,14.862,6.165
2000-08-06,0.006,0,,0.767,2.94,2.721,9.135,15.55,17.705,6.033
2000-08-07,0.029,0.001,,0.763,3.215,1.339,8.65,15.961,17.408,5.55
2000-08-08,0.275,0.05,,0.761,2.747,1.272,7.865,14.459,17.28,5.709
2000-08-09,0.465,0.122,,0.76,2.813,2.178,8.266,14.354,16.852,5.83
2000-08-10,0.529,0.17,,0.76,2.926,1.926,8.179,14.433,16.962,5.809
2000-08-11,0.126,0.009,,0.76,3.001,3.062,8.925,14.789,15.619,6.158
2000-08-12,0.426,0.102,,0.759,3.495,3.014,9.335,15.657,15.743,6.311
2000-08-13,0.235,0.028,,0.756,3.041,1.087,8.182,15.276,15.458,6.198
2000-08-14,0.086,0.004,,0.753,3.762,1.638,8.991,16.344,18.56,5.603
2000-08-15,0.061,0.002,,0.751,4.033,1.265,9.329,17.393,20.631,4.613
2000-08-16,0.048,0.001,,0.738,4.103,-0.245,8.52,17.286,20.857,4.333
2000-08-17,0.03,0,,0.725,4.043,-0.16,8.54,17.239,21.194,4.692
2000-08-18,0.067,0.002,,0.716,3.835,1.79,9.277,16.763,18.989,4.855
2000-08-19,0.063,0.002,,0.692,3.46,2.464,8.655,14.846,16.253,5.38
2000-08-20,0.079,0.003,,0.68,3.515,2.607,9.723,16.839,17.444,5.675
2000-08-21,0.04,0.001,,0.667,3.742,0.91,8.521,16.133,18.616,5.259
2000-08-22,0.044,0.001,,0.654,3.852,1.529,8.873,16.218,18.859,5.245
2000-08-23,0.022,0,,0.617,3.726,1.811,8.845,15.878,18.648,5.26
2000-08-24,0.005,0,,0.584,3.689,1.075,8.441,15.806,19.454,5.326
2000-08-25,0.01,0,,0.575,3.635,0.737,8.226,15.716,20.115,5.603
2000-08-26,0.007,0,,0.562,3.382,1.119,8.144,15.169,18.47,6.184
2000-08-27,0.081,0.003,,0.556,3.729,1.071,9.07,17.069,19.152,6.283
2000-08-28,0.069,0.002,,0.547,3.584,1.173,9.447,17.721,19.901,6.063
2000-08-29,0.072,0.003,,0.541,3.622,0.903,9.1,17.297,18.618,6.39
2000-08-30,0.091,0.004,,0.538,3.426,0.979,8.352,15.725,18.724,6.079
2000-08-31,0.042,0.001,,0.535,3.553,0.769,8.777,16.784,21.702,5.142
2000-09-01,0.572,0.164,,0.652,3.694,2.033,9.313,16.593,20.774,5.501
2000-09-02,0.318,0.052,,0.654,3.386,0.204,7.613,15.021,20.995,5.44
2000-09-03,0.51,0.133,,0.657,3.392,-0.325,7.144,14.614,22.234,4.832
2000-09-04,0.405,0.086,,0.659,3.353,-0.472,7.743,15.958,20.272,4.313
2000-09-05,0.642,0.227,,0.659,3.37,0.127,8.621,17.115,21.883,4.671
2000-09-06,0.322,0.055,,0.659,3.003,1.341,9.05,16.759,20.388,5.116
2000-09-07,0.019,0,,0.652,2.969,0.711,8.266,15.82,20.787,5.133
2000-09-08,0.047,0.002,,0.571,3.382,0.294,8.144,15.993,21.379,4.418
2000-09-09,0.323,0.034,,0.545,3.509,1.165,7.983,14.801,21.644,4.253
2000-09-10,2.3,1.574,,0.551,2.914,3.639,8.619,13.598,14.646,5.503
2000-09-11,0.408,0.083,,0.649,3.511,0.227,7.646,15.066,22.128,4.704
2000-09-12,2.265,1.274,,0.694,3.434,1.009,8.668,16.328,20.42,5.33
2000-09-13,2.074,1.117,,0.753,3.119,3.611,9.656,15.701,20.482,6.188
2000-09-14,3.166,3.116,,0.798,3.484,2.231,9.082,15.933,20.951,5.777
2000-09-15,0.456,0.12,,0.856,2.949,3.159,9.125,15.091,15.55,6.245
2000-09-16,0.928,0.406,,0.86,2.674,3.605,8.291,12.976,15.194,7.002
2000-09-17,0.509,0.164,,0.86,3.078,2.8,8.481,14.163,19.424,6.135
2000-09-18,0.36,0.084,,0.841,3.21,1.794,8.266,14.738,19.252,5.948
2000-09-19,1.06,0.42,,0.81,2.976,1.998,8.332,14.665,19.801,5.913
2000-09-20,0.898,0.378,,0.796,3.453,3.796,9.855,15.915,20.745,5.776
2000-09-21,3.546,2.165,,0.831,3.599,4.126,10.37,16.615,20.336,6.168
2000-09-22,2.782,2.528,,0.867,2.759,4.568,9.61,14.651,19.018,6.524
2000-09-23,1.786,0.82,,0.876,2.512,4.149,9.457,14.765,14.56,7.126
2000-09-24,2.998,2.328,,0.882,3.291,1.93,9.339,16.749,18.321,6.413
2000-09-25,1.559,1.297,,0.883,2.962,2.322,7.979,13.635,17.927,6.937
2000-09-26,1.545,1.432,,0.883,2.685,5.052,9.837,14.621,18.443,6.932
2000-09-27,0.666,0.268,,0.883,3.232,3.391,9.7,16.009,19.553,6.397
2000-09-28,5.383,4.474,,0.884,3.077,1.822,8.756,15.691,17.388,6.709
2000-09-29,1.187,0.411,,0.897,3.182,1.752,7.957,14.162,17.668,6.716
2000-09-30,0.375,0.081,,0.898,3.445,2.399,8.82,15.242,22.101,5.857
2000-10-01,0.606,0.065,,0.862,3.853,2.634,8.459,14.285,22.667,5.284
2000-10-02,0.141,0.005,,0.853,4.057,1.898,8.684,15.47,23.667,4.781
2000-10-03,1.641,0.354,,0.848,3.194,1.847,8.562,15.277,23.203,5.475
2000-10-04,1.892,0.772,,0.848,3.135,1.902,8.049,14.197,22.096,5.85
2000-10-05,1.225,0.217,,0.849,3.227,1.746,8.228,14.71,22.506,5.943
2000-10-06,2.082,1.378,,0.853,3.239,2.637,8.738,14.84,17.262,6.802
2000-10-07,0.901,0.246,,0.853,2.756,2.597,7.071,11.545,15.553,6.875
2000-10-08,2.246,0.63,,0.858,2.751,3.941,7.801,11.66,15.235,6.844
2000-10-09,2.101,0.789,,0.861,3.388,3.707,8.703,13.698,16.813,6.732
2000-10-10,2.032,1.256,,0.862,3.222,4.449,8.145,11.841,16.895,6.769
2000-10-11,2.948,1.786,,0.864,3.197,4.926,9.038,13.15,18.01,6.391
2000-10-12,5.149,4.831,,0.876,3.123,3.842,8.706,13.57,19.522,6.147
2000-10-13,0.766,0.184,,0.89,3.272,2.371,8.412,14.454,16.627,6.272
2000-10-14,1.897,0.944,,0.894,3.627,3.119,9.125,15.131,19.079,6.159
2000-10-15,0.444,0.069,,0.891,3.34,3.951,8.44,12.929,17.774,6.359
2000-10-16,1.096,0.032,,0.881,3.457,2.815,8.322,13.828,17.058,6.723
2000-10-17,0.642,0.05,,0.876,3.733,3.944,9.651,15.359,17.959,6.699
2000-10-18,0.76,0.114,,0.87,3.993,4.741,10.217,15.692,19.038,6.647
2000-10-19,1.369,0.339,,0.863,3.194,5.284,9.876,14.468,18.623,6.725
2000-10-20,2.997,3.301,,0.863,3.057,4.47,8.951,13.432,18.329,6.777
2000-10-21,0.373,0.036,,0.864,3.287,4.329,10.023,15.717,18.715,7.174
2000-10-22,3.048,2.358,,0.87,3.854,2.959,9.651,16.342,22.086,6.638
2000-10-23,0.839,0.084,,0.871,3.912,1.065,8.982,16.9,25.199,5.383
2000-10-24,1.086,0.124,,0.872,3.529,2.223,9.385,16.548,22.885,6.133
2000-10-25,1.018,0.105,,0.871,3.426,1.898,8.282,14.667,22.773,5.53
2000-10-26,1.268,0.648,,0.87,2.827,2.424,8.012,13.599,21.922,5.743
2000-10-27,0.574,0.13,,0.87,3.447,1.734,8.031,14.327,28.001,4.565
2000-10-28,1.324,0.065,,0.864,3.899,1.203,8.995,16.787,28.13,4.166
2000-10-29,0.316,0.022,,0.863,3.728,2.834,9.434,16.034,23.874,5.002
2000-10-30,0.015,0,,0.862,3.67,4.197,10.996,17.796,20.527,6.882
2000-10-31,0.045,0.001,,0.858,3.075,2.61,9.782,16.954,20.116,6.899
2000-11-01,0.208,0.027,,0.805,3.848,2.141,9.329,16.517,23.203,5.892
2000-11-02,1.089,0.343,,0.803,4.124,1.634,9.585,17.536,27.152,4.823
2000-11-03,0.042,0.001,,0.801,4.101,0.641,9.106,17.572,28.397,4.031
2000-11-04,0.079,0.004,,0.8,3.841,-0.261,8.746,17.753,28.493,3.482
2000-11-05,0.681,0.134,,0.8,3.985,-0.138,8.864,17.866,28.59,3.408
2000-11-06,0.274,0.013,,0.797,3.84,-0.117,8.574,17.266,28.682,3.249
2000-11-07,0.176,0.005,,0.797,3.93,-0.154,8.155,16.463,28.417,3.86
2000-11-08,0.116,0.004,,0.797,4.045,-0.426,8.13,16.686,27.662,3.68
2000-11-09,0.188,0.009,,0.797,3.914,-0.948,8.461,17.87,26.626,4.01
